scope,games,agreements,positive_deltas,negative_deltas,zero_deltas,sum_rounded_delta,mean_rounded_delta,median_delta,before_rating,after_rating,exact_rating_change,before_games,after_games,rewards_harvested,displayed_diagnostic_count
all,40,40,15,24,1,9.8,0.245,-1.3,1352.06,1361.95,9.89,97,137,40,5
Alice,27,27,8,19,0,-9.9,-0.367,-1.3,,,,,,,
Bob,13,13,7,5,1,19.7,1.515,0.4,,,,,,,
