family,role,games,positive,negative,zero,rating_change,mean_rating_delta
bargaining,all,8,5,3,0,5.86,0.732
bargaining,player_1,5,4,1,0,9.05,1.810
bargaining,player_2,3,1,2,0,-3.19,-1.063
negotiation,all,43,26,17,0,10.30,0.240
negotiation,buyer,23,15,8,0,9.13,0.397
negotiation,seller,20,11,9,0,1.17,0.059
