scope,role,games,positive_deltas,negative_deltas,rounded_delta_sum,mean_rounded_delta,median_delta,before_rating,after_rating,exact_rating_change,before_games,after_games,fallback_count
exact_batch,all,35,,,,,,1756.91,1741.90,-15.01,379,414,0
complete_games,all,35,14,21,-15.0,-0.43,-0.8,,,,,,
complete_games,buyer,21,11,10,0.3,0.01,1.3,,,,,,
complete_games,seller,14,3,11,-15.3,-1.09,-1.8,,,,,,
