family,role,n,sum,mean,sd,median,q10,q25,q75,q90,iqr,mad,minimum,maximum,positive,zero,negative,positive_rate,sign_test_p,naive_ci_low,naive_ci_high,lag1_autocorrelation,max_drawdown,ending_drawdown,max_losing_streak
bargaining,player_1,64,80.15,1.25234375,3.8199924134336283,0.245,-2.702,-1.7575,4.26,6.428000000000001,6.0175,2.745,-5.73,8.43,33,1,30,0.515625,0.8013064925040662,0.31644560870876115,2.188241891291239,0.08241496389287133,15.49,0.18000000000000682,5
bargaining,player_2,86,110.79,1.2882558139534883,4.7412408879236185,-0.08,-4.65,-2.7125000000000004,6.805,7.66,9.5175,3.67,-6.33,8.21,43,0,43,0.5,1.0,0.2861839533476287,2.290327674559348,0.04889799365627586,18.24,1.4300000000000068,5
persuasion,buyer,37,34.77,0.9397297297297298,3.8930482818640875,0.73,-3.704,-1.35,3.8,6.501999999999999,5.15,2.88,-6.77,7.67,22,0,15,0.5945945945945946,0.3240086000878364,-0.31469613260613194,2.1941555920655915,-0.027176153572772345,12.93,12.93,4
persuasion,seller,41,20.9,0.5097560975609756,3.9508324994897457,-0.45,-3.97,-2.69,4.27,6.09,6.959999999999999,2.4499999999999997,-5.47,7.8,16,0,25,0.3902439024390244,0.21102359760880063,-0.699595995551697,1.7191081906736483,-0.0784309270841752,11.260000000000002,11.260000000000002,4
negotiation,buyer,11,-20.33,-1.8481818181818181,4.024680902088558,-2.91,-5.81,-5.535,1.665,3.58,7.2,2.8999999999999995,-6.02,4.07,4,0,7,0.36363636363636365,0.548828125,-4.226616240740746,0.5302526043771105,0.14247795426268992,20.33,20.33,4
negotiation,seller,9,-13.4,-1.488888888888889,3.3685361970908243,-3.04,-4.018,-3.75,1.0,3.694,4.75,0.81,-4.69,3.79,3,0,6,0.3333333333333333,0.5078125,-3.689665870988227,0.7118880932104492,0.21898757475585126,14.379999999999999,13.399999999999999,4
