family,role,games,positive,negative,zero,rating_change,mean_rating_delta
bargaining,all,10,3,7,0,-8.13,-0.813
bargaining,player_1,4,1,3,0,1.70,0.425
bargaining,player_2,6,2,4,0,-9.83,-1.638
persuasion,all,10,6,4,0,4.15,0.415
persuasion,buyer,5,3,2,0,0.93,0.186
persuasion,seller,5,3,2,0,3.22,0.644
