family,role,information,horizon_bucket,discount_bucket,n,sum,mean,sd,median,q10,q25,q75,q90,iqr,mad,minimum,maximum,positive,zero,negative,positive_rate,lag1_autocorrelation,max_drawdown,ending_drawdown,max_losing_streak
bargaining,player_2,hidden,2,3,2,-0.9100000000000001,-0.45500000000000007,7.728677118368965,-0.45500000000000007,-4.827,-3.1875,2.2775,3.917,5.465,5.465,-5.92,5.01,1,0,1,0.5,,5.92,0.9100000000000001,1
negotiation,buyer,full,0,,3,-12.23,-4.076666666666666,3.017852437302615,-5.61,-5.938,-5.8149999999999995,-3.105,-1.6019999999999994,2.7099999999999995,0.40999999999999925,-6.02,-0.6,0,0,3,0.0,-0.9999999999999998,12.23,12.23,3
negotiation,buyer,full,1,,2,-10.36,-5.18,0.3959797974644663,-5.18,-5.404,-5.32,-5.04,-4.956,0.28000000000000025,0.2799999999999998,-5.46,-4.9,0,0,2,0.0,,10.36,10.36,2
negotiation,buyer,hidden,0,,6,2.2600000000000007,0.37666666666666676,3.919406417643706,1.665,-4.359999999999999,-1.8925,3.2275,3.825,5.12,2.16,-5.81,4.07,4,0,2,0.6666666666666666,0.44076005172331734,8.719999999999999,0.0,2
negotiation,seller,full,0,,3,-10.64,-3.546666666666667,0.44162578427140475,-3.75,-3.83,-3.8,-3.395,-3.182,0.4049999999999998,0.10000000000000009,-3.85,-3.04,0,0,3,0.0,1.0,10.64,10.64,3
negotiation,seller,hidden,0,,4,-3.7600000000000007,-0.9400000000000002,3.9546681276688695,-1.37,-4.405,-3.9775,1.6675,2.8690000000000007,5.645,2.845,-4.69,3.67,2,0,2,0.5,-0.5390497468818229,4.69,4.69,1
negotiation,seller,hidden,1,,2,1.0,0.5,4.652762620207483,0.5,-2.132,-1.145,2.1450000000000005,3.1320000000000006,3.2900000000000005,3.29,-2.79,3.79,1,0,1,0.5,,2.79,2.79,1
persuasion,buyer,,2,,4,6.72,1.68,6.242131046365496,1.69,-3.767,-3.6725000000000003,7.0425,7.119,10.715,5.3950000000000005,-3.83,7.17,2,0,2,0.5,-0.9995285616364668,3.83,3.83,1
persuasion,buyer,,2,,1,-3.14,-3.14,0.0,-3.14,-3.14,-3.14,-3.14,-3.14,0.0,0.0,-3.14,-3.14,0,0,1,0.0,,3.14,3.14,1
persuasion,buyer,,2,,2,-2.12,-1.06,0.311126983722081,-1.06,-1.236,-1.17,-0.95,-0.8839999999999999,0.21999999999999997,0.22000000000000003,-1.28,-0.84,0,0,2,0.0,,2.12,2.12,2
persuasion,buyer,,2,,6,12.08,2.013333333333333,3.4354077875365343,2.2199999999999998,-1.645,0.0050000000000000044,4.5625,5.465,4.5575,2.575,-3.02,6.05,4,0,2,0.6666666666666666,-0.24573427411394794,3.02,0.0,1
persuasion,buyer,,2,,1,1.83,1.83,0.0,1.83,1.83,1.83,1.83,1.83,0.0,0.0,1.83,1.83,1,0,0,1.0,,0.0,0.0,0
persuasion,buyer,,2,,2,-3.7399999999999998,-1.8699999999999999,3.676955262170047,-1.8699999999999999,-3.9499999999999997,-3.17,-0.5700000000000003,0.20999999999999996,2.5999999999999996,2.5999999999999996,-4.47,0.73,1,0,1,0.5,,4.47,3.7399999999999998,1
persuasion,buyer,,2,,7,11.55,1.6500000000000001,5.581484270932479,3.8,-4.574,-2.62,6.115,6.714,8.735,3.7300000000000004,-6.77,7.53,4,0,3,0.5714285714285714,0.6002167725896581,12.009999999999998,12.009999999999998,3
persuasion,buyer,,2,,1,7.67,7.67,0.0,7.67,7.67,7.67,7.67,7.67,0.0,0.0,7.67,7.67,1,0,0,1.0,,0.0,0.0,0
persuasion,buyer,,2,,10,7.04,0.7040000000000001,0.7471308081216063,0.7250000000000001,-0.21999999999999997,0.605,1.0075,1.61,0.4025000000000001,0.25000000000000006,-0.76,1.79,8,0,2,0.8,-0.48922703267592516,0.7600000000000002,0.0,1
persuasion,buyer,,2,,1,-1.35,-1.35,0.0,-1.35,-1.35,-1.35,-1.35,-1.35,0.0,0.0,-1.35,-1.35,0,0,1,0.0,,1.35,1.35,1
persuasion,buyer,,2,,2,-1.7699999999999996,-0.8849999999999998,7.247844507162112,-0.8849999999999998,-4.984999999999999,-3.4475,1.6775000000000002,3.215,5.125,5.125,-6.01,4.24,1,0,1,0.5,,6.01,6.01,1
persuasion,seller,,2,,8,3.56,0.445,3.2250980051553695,-0.41500000000000004,-2.912,-1.565,1.8525,4.779,3.4175,1.98,-2.94,6.06,3,0,5,0.375,-0.45467333406409177,5.84,0.0,2
persuasion,seller,,2,,3,-5.63,-1.8766666666666667,1.241343358355509,-2.47,-2.662,-2.59,-1.4600000000000002,-0.8540000000000001,1.1299999999999997,0.23999999999999977,-2.71,-0.45,0,0,3,0.0,1.0,5.630000000000001,5.630000000000001,3
persuasion,seller,,2,,3,12.34,4.113333333333333,4.093975248256068,5.97,0.7300000000000001,2.695,6.46,6.7540000000000004,3.765,0.9800000000000004,-0.58,6.95,2,0,1,0.6666666666666666,1.0,0.58,0.0,1
persuasion,seller,,2,,1,0.64,0.64,0.0,0.64,0.64,0.64,0.64,0.64,0.0,0.0,0.64,0.64,1,0,0,1.0,,0.0,0.0,0
persuasion,seller,,2,,3,0.4699999999999994,0.15666666666666648,4.5898184423061155,-0.66,-3.3080000000000003,-2.3150000000000004,2.2199999999999998,3.9479999999999995,4.535,3.31,-3.97,5.1,1,0,2,0.3333333333333333,-1.0,3.97,3.97,1
persuasion,seller,,2,,2,-8.66,-4.33,0.028284271247461926,-4.33,-4.346,-4.34,-4.319999999999999,-4.314,0.020000000000000462,0.020000000000000018,-4.35,-4.31,0,0,2,0.0,,8.66,8.66,2
persuasion,seller,,2,,12,3.25,0.2708333333333333,4.219195223420378,-0.75,-3.642,-2.775,1.7224999999999997,6.575,4.4975,2.11,-4.82,7.75,5,0,7,0.4166666666666667,-0.06193167717695819,8.26,8.26,2
persuasion,seller,,2,,3,-7.18,-2.393333333333333,2.7030414967834533,-1.31,-4.638,-3.3899999999999997,-0.855,-0.582,2.5349999999999997,0.91,-5.47,-0.4,0,0,3,0.0,-1.0,7.18,7.18,3
persuasion,seller,,2,,3,4.069999999999999,1.3566666666666665,4.11410176506772,-0.66,-1.2200000000000002,-1.01,2.715,4.74,3.7249999999999996,0.7000000000000001,-1.36,6.09,1,0,2,0.3333333333333333,1.0,2.02,0.0,2
persuasion,seller,,2,,1,7.8,7.8,0.0,7.8,7.8,7.8,7.8,7.8,0.0,0.0,7.8,7.8,1,0,0,1.0,,0.0,0.0,0
persuasion,seller,,2,,1,4.27,4.27,0.0,4.27,4.27,4.27,4.27,4.27,0.0,0.0,4.27,4.27,1,0,0,1.0,,0.0,0.0,0
persuasion,seller,,2,,1,5.97,5.97,0.0,5.97,5.97,5.97,5.97,5.97,0.0,0.0,5.97,5.97,1,0,0,1.0,,0.0,0.0,0
